sp_id	latitude	longitude
517668204	44.2706230	-105.4312002
517666032	44.2708480	-105.5262361
517668360	44.2279230	-105.4632902
517667167	44.2925030	-105.5035201
517666493	44.2824530	-105.5464201
517666611	44.2902480	-105.4940401
517668074	44.2855630	-105.4778702
517667123	44.2887830	-105.5049901
517667484	44.2695730	-105.4986301
517667679	44.2767440	-105.4883391
517667192	44.2885830	-105.4947301
517667531	44.2735130	-105.5044601
517667463	44.2684730	-105.5042201
517667187	44.2814130	-105.4956401
517788558	44.5318290	-105.2237392
517666506	44.2904130	-105.5292001
517668354	44.2932030	-105.4522602
517667378	44.2655430	-105.5234801
517666251	44.4512630	-105.5848801
517667965	44.2920130	-105.4903401
517668415	44.2308130	-105.4240402
517667801	44.2915430	-105.4932301
517665999	44.3010220	-105.5259891
517668261	44.2040030	-105.3504302
517668324	44.2723830	-105.4300202
517788803	44.5841730	-105.8124300
503227141	40.0321935	-104.8165009
517668020	44.2856230	-105.4932901
517666441	44.2888330	-105.5481901
517667925	44.2901730	-105.4773302
517668027	44.2919830	-105.4937001
517666327	44.2510530	-105.5628501
517661570	43.7464331	-105.4853902
517666153	44.3013930	-105.5261001
517667680	44.2908150	-105.4373122
517668123	44.2913930	-105.4586502
517668122	44.2740130	-105.4792802
517667694	44.2763720	-105.4938411
517414287	41.1387234	-104.8198908
517660992	43.8475310	-104.2104875
517668142	44.2753230	-105.4316602
517666609	44.2921240	-105.4953111
517668143	44.1945230	-105.3704202
517666058	44.2563840	-105.5418831
517666224	44.4536130	-105.5961101
517667209	44.2934630	-105.5029201
517667793	44.3064230	-105.4874901
508220673	39.0922325	-84.4936264
517667784	44.3006730	-105.4717402
517666170	44.4744730	-105.5993901
517666180	44.2912930	-105.5225101
517667509	44.2703530	-105.5227101
517667777	44.2915430	-105.4932301
517666518	44.2685230	-105.5316201
517666089	44.2462431	-105.7461101
507069379	29.8790746	-90.0788854
517667506	44.2735530	-105.5108301
517666478	44.2845530	-105.5472001
517669058	44.2966030	-105.2235202
517666654	44.2901770	-105.5040241
517666822	44.2913030	-105.5093101
517666323	44.2815630	-105.5477001
517666986	44.2929830	-105.5044401
517669038	44.0249731	-105.3250502
517666835	44.2903430	-105.5064701
517666828	44.2941830	-105.5029801
517668488	44.2429330	-105.4779402
517667806	44.2835830	-105.4937101
517666876	44.2840530	-105.4999101
517668365	44.2425530	-105.4743602
514675894	44.0996029	-103.1999607
517669060	44.2836030	-105.2200202
508220421	39.0913725	-84.4969964
517666754	44.3044970	-105.5096981
517667501	44.2750730	-105.5014601
517668731	44.3274270	-105.2842992
517667297	44.2750630	-105.5067301
517667726	44.3145630	-105.4469502
517668336	44.2933330	-105.4369202
517669052	44.4745730	-105.2174102
517667296	44.2777930	-105.5053501
517668557	44.2841730	-105.3679102
517788823	44.9323130	-105.6010800
517667984	44.3043430	-105.4828901
517667659	44.2763990	-105.4938411
503226236	40.0012125	-104.8114679
517666477	44.2824630	-105.5453201
517668294	44.2300930	-105.4299102
517666658	44.2919680	-105.5040621
517667764	44.2890330	-105.4922801
517667174	44.2929030	-105.5006101
517668393	44.2207130	-105.4601802
517789194	44.6557330	-105.2642501
517666009	44.3037310	-105.5249281
517660863	43.8169651	-105.3621653
517668507	44.2746130	-105.4875402
517666928	44.2941830	-105.5029801
517666056	44.2299471	-105.6823121
517667185	44.2827630	-105.5037101
517666388	44.2873730	-105.5481101
517668009	44.2812730	-105.4921501
517668053	44.2918330	-105.4881901
517666841	44.2951530	-105.5187201
517788802	44.9174430	-105.4596601
517667709	44.2915430	-105.4932301
517667255	44.2567630	-105.5017101
517666408	44.2508830	-105.5340601
517667479	44.2698030	-105.5230001
517667403	44.2693930	-105.5063601
517666827	44.2853230	-105.5048801
517667511	44.2697830	-105.5205001
517661319	43.8551290	-104.2033185
517667120	44.3245230	-105.5205901
517668271	44.2360830	-105.4260402
517666819	44.2938330	-105.5079601
517669087	44.2862730	-105.2962402
517666692	44.2974020	-105.5159991
517668175	44.2577830	-105.4731202
517666814	44.2879330	-105.5162001
517666806	44.2881130	-105.4989301
517668464	44.2494330	-105.4832302
517667979	44.3120530	-105.4814501
517669055	44.2816030	-105.3176402
517667494	44.2700930	-105.5018101
517668250	44.2911830	-105.4573702
517666260	44.3252030	-105.5264101
517666098	44.2365431	-105.7401801
517666134	44.2934330	-105.5240701
517668145	44.2419930	-105.4800702
517666974	44.2987930	-105.5220001
517666398	44.2817630	-105.5258401
503226776	40.0045135	-104.8134909
517667247	44.2637830	-105.5122201
517667954	44.2903230	-105.4757502
517667148	44.2821630	-105.5030801
517788753	44.7353230	-105.9732500
517668398	44.2377930	-105.4734402
517668109	44.2930230	-105.4548302
517668164	44.2739630	-105.4931901
517667552	44.2698730	-105.4957601
517666320	44.2643530	-105.5269901
517668428	44.2747630	-105.4929401
517666728	44.2750110	-105.4942551
517666687	44.2875060	-105.5117881
517667533	44.2755330	-105.5053401
517667631	44.2619430	-105.4934102
517788813	44.6716730	-105.7159400
517667353	44.2682230	-105.5042201
517666104	44.2972030	-105.5412701
517668314	44.2895230	-105.4432602
517667841	44.3016430	-105.3529802
517667285	44.2707730	-105.5159801
517666209	44.4830630	-105.5637401
517666057	44.2382161	-105.6043371
508220545	39.0926425	-84.4909364
517788825	44.7409930	-105.7096100
517668179	44.2769530	-105.4921201
517666556	44.2362231	-105.6100301
517667598	44.2892930	-105.4791752
517666017	44.2810560	-105.5463721
517667221	44.2970230	-105.4964301
517667272	44.2768030	-105.5075701
517667662	44.2385010	-105.4795372
517666148	44.3025530	-105.5312501
517667443	44.2747630	-105.5187701
517668456	44.2341730	-105.4310102
517661555	43.9792531	-105.9673801
517668021	44.3090030	-105.4772401
517666183	44.3004430	-105.5278501
517668553	44.2939530	-105.4570902
517667455	44.2739630	-105.5064001
517667816	44.2841330	-105.4846101
517666365	44.2790530	-105.5509001
517666833	44.2964330	-105.4952701
517667921	44.2887030	-105.4799501
517668281	44.2345330	-105.4282602
517666874	44.2920930	-105.4956401
517667066	44.2926930	-105.5223901
517666049	44.2525070	-105.5480771
517667848	44.3081330	-105.4794601
517668333	44.2255830	-105.4546802
517668392	44.2172830	-105.4568502
517666781	44.3044970	-105.5096981
517668091	44.2442530	-105.4789102
517667262	44.2563530	-105.5000702
517669057	44.3477830	-105.2062002
517667158	44.2987930	-105.5220001
517668234	44.2497330	-105.4800702
517666830	44.2909130	-105.5035001
517666373	44.2252331	-105.5592001
517667013	44.2936230	-105.5044501
517666249	44.3194230	-105.5299601
517666873	44.2919930	-105.5044301
517668177	44.2468030	-105.4852902
517668416	44.2403730	-105.4754602
517666930	44.2928730	-105.5079501
517661565	43.7519631	-105.5067302
517666433	44.2898030	-105.5477001
517668112	44.2577330	-105.4923902
517666793	44.2422244	-105.5114361
517666121	44.3277130	-105.5286901
517666310	44.2892430	-105.5394701
517666445	44.2854930	-105.5494101
517668231	44.2877330	-105.4328002
517668135	44.2705130	-105.4896402
517667554	44.2580530	-105.5176701
517661559	43.7413131	-105.4194103
517668026	44.3340730	-105.4875801
517666882	44.2843930	-105.5109801
517667656	44.2288480	-105.4243422
517667434	44.2640430	-105.5129701
517666812	44.2937330	-105.5021101
517666700	44.2929440	-105.5040901
517668093	44.2911830	-105.4573702
517667328	44.2726230	-105.5191201
517668536	44.2146230	-105.4581102
517668171	44.2688230	-105.4928701
517666401	44.2483930	-105.5369901
517666383	44.0999431	-105.5920802
517668376	44.2175230	-105.4618502
517413388	41.1269634	-104.8325108
517666071	44.2497331	-105.6666201
517668531	44.2913930	-105.4586502
517666194	44.3004930	-105.5302901
517666443	44.2424331	-105.5743101
517668286	44.2451530	-105.4781402
517666206	44.3009030	-105.5316001
517666883	44.2924530	-105.5058801
517668528	44.2753230	-105.4324302
517666730	44.2710490	-105.4941271
517666086	44.3005630	-105.5255201
517667454	44.2688830	-105.5032701
517500035	42.7868232	-105.4027504
517667318	44.2738030	-105.5130601
517666891	44.2830830	-105.5071501
517666967	44.2919630	-105.5134401
517666661	44.2850770	-105.4940001
517669061	44.2837230	-105.2765902
517666598	44.2850770	-105.4940001
517668505	44.2369730	-105.4857302
517416064	41.1378564	-104.8046308
517667099	44.2935530	-105.5044501
517668304	44.2183230	-105.4663102
517668383	44.2520730	-105.4880802
517669059	44.3239030	-105.1623402
517669077	44.2862930	-105.3330302
517667275	44.2695230	-105.4976101
517667541	44.2653330	-105.5189701
517666481	44.2889630	-105.5601201
517666448	44.2846830	-105.5479401
517669043	44.3391030	-105.3393302
517666201	44.2923030	-105.5999401
517668066	44.2906630	-105.4933301
517666844	44.2838630	-105.5121601
517499353	42.7595852	-105.3874154
517416365	41.1417234	-104.8068008
517667030	44.3041330	-105.5205401
517667604	44.3023250	-105.3582532
517667599	44.3444920	-105.3591872
517668148	44.2931430	-105.4555702
517667338	44.2739030	-105.5101701
517668366	44.2207930	-105.4674102
517666161	44.3880030	-105.5311301
517666933	44.2843430	-105.5089201
517667316	44.2677630	-105.5221401
517668339	44.2760530	-105.4846902
517666703	44.2715010	-105.5040291
517668442	44.2902430	-105.4486902
517668012	44.2812730	-105.4921501
517667358	44.2686230	-105.5088301
517666711	44.2773210	-105.5005361
517668509	44.2195230	-105.4581602
517666421	44.2609830	-105.5311801
517666992	44.3270330	-105.5211901
517499157	42.7584932	-105.3849904
517667339	44.2724730	-105.5124201
517666127	44.2911830	-105.5241601
517668377	44.2778530	-105.4919501
517667092	44.2907330	-105.5036301
517666624	44.2850760	-105.4941531
517667849	44.3105330	-105.4572902
517669062	44.3190230	-105.1790302
517667393	44.2754130	-105.5212701
517788816	44.6557330	-105.2642501
517668730	44.1071610	-105.1607373
517669047	44.2851830	-105.2985902
517667191	44.2857530	-105.5050301
517788817	44.6368030	-105.2971101
517667657	44.0711081	-105.4886792
517666144	44.3002830	-105.5363701
517666204	44.3216930	-105.5239001
517668465	44.2195830	-105.4666302
517669049	44.2871730	-105.3075202
503226790	40.0026435	-104.8119309
517666669	44.2902480	-105.4940401
517666618	44.3035910	-105.5031781
517667837	44.3476530	-105.3568102
517666504	44.2486730	-105.5698901
517666228	44.4753730	-105.5998801
517666999	44.2817830	-105.5031001
517668111	44.2882630	-105.4336802
517667261	44.2742630	-105.5076101
517668206	44.2705130	-105.4896402
517667748	44.2849130	-105.4796702
517668410	44.2338030	-105.4273102
517667466	44.2685530	-105.5014501
517666006	44.3003770	-105.5348001
517666227	44.3007930	-105.5455501
517666393	44.2863330	-105.5526601
517668172	44.2733430	-105.4931901
517666358	44.2539630	-105.5524201
517668244	44.2320730	-105.4284302
517666735	44.2694530	-105.5124381
517667248	44.2684830	-105.5081301
517668401	44.2230730	-105.4818902
517666031	44.2248351	-105.5532431
517666179	44.3223830	-105.5286701
517668212	44.2592930	-105.4833202
517668400	44.2804930	-105.4709302
517498635	42.7484332	-105.3788264
517666069	44.2911830	-105.5241601
517660852	43.9425081	-105.3428272
517667428	44.2525330	-105.5167601
517665998	44.3028200	-105.5481991
517666172	44.4598930	-105.5837301
517666333	44.2918530	-105.5419601
517668285	44.2455630	-105.4823702
517667312	44.2763130	-105.5111901
517667047	44.2933930	-105.4971101
517666132	44.3041930	-105.5377801
517666649	44.2915410	-105.5194721
517667183	44.2934830	-105.5044501
517667860	44.3068230	-105.4835601
517661552	43.9807631	-105.2649703
517667273	44.2764130	-105.5221901
517667045	44.2924530	-105.5058801
517668372	44.2171730	-105.4660902
517666225	44.3343830	-105.5296601
517666307	44.2359631	-105.5684401
508221077	39.0987925	-84.4886864
517669064	44.2867230	-105.3270702
517665991	44.2937330	-105.5266681
517666575	44.2911930	-105.5025931
517667699	44.2486490	-105.4804232
517667956	44.3124330	-105.4795801
517668131	44.2929330	-105.4601802
517666950	44.2928630	-105.5043201
517666746	44.2710490	-105.4941271
517668158	44.2190930	-105.4614302
517667079	44.3398030	-105.5229801
517667767	44.2896530	-105.4765902
517667964	44.2853630	-105.4904301
517668038	44.3102830	-105.4746501
517666763	44.3044970	-105.5096981
517667458	44.2774330	-105.4956701
517667938	44.2841330	-105.4856701
517667971	44.2855030	-105.4771902
517667840	44.3128730	-105.4796401
517666607	44.2890840	-105.5173201
517661099	43.8511600	-104.2191915
517667372	44.2619030	-105.4996902
517666860	44.2934830	-105.5044501
517666826	44.2956130	-105.5140801
517667669	44.2893430	-105.4444952
517667943	44.2919830	-105.4937001
517666188	44.3043630	-105.5327101
517668092	44.2641630	-105.4929102
517666193	44.3004930	-105.5302901
517667743	44.2920230	-105.4895801
517668219	44.2274130	-105.4612902
517668364	44.2352030	-105.4297702
517666459	44.2849430	-105.5514901
517667733	44.3018330	-105.3492702
517666259	44.3262930	-105.5289801
517666223	44.2960530	-105.5523701
517668098	44.2448430	-105.4771302
517667729	44.2982430	-105.4857401
517667963	44.3064930	-105.4883801
508220239	39.0939805	-84.4962234
517668018	44.2962930	-105.3474602
517666523	44.2325431	-105.6101301
517661227	43.8554570	-104.2033965
514676384	44.1016529	-103.2065807
517661604	43.7512031	-105.4808102
517498656	42.7523852	-105.3746024
517667218	44.2929030	-105.5006101
517666276	44.4862730	-105.6041701
517667355	44.2687530	-105.5049201
517666299	44.2704830	-105.5305401
517668139	44.2900230	-105.4540802
517667896	44.3090030	-105.4815701
517668102	44.2894830	-105.4540302
517667081	44.2923430	-105.5020601
517666615	44.2850770	-105.4940001
517666316	44.2518430	-105.5721401
517661539	43.7584559	-105.4884554
517666807	44.2934630	-105.5029201
517667096	44.3045430	-105.5234901
517666317	44.2465631	-105.6181501
517666210	44.3004430	-105.5278501
517788556	44.7434190	-105.7187390
517666987	44.2819230	-105.4947101
517666821	44.2940530	-105.5087401
517666377	44.2685430	-105.5305601
517666085	44.2961330	-105.5226801
517668984	44.3317359	-105.2576574
517667739	44.2920130	-105.4907201
517668205	44.2793130	-105.4722402
517667794	44.3129530	-105.4716101
517666982	44.2895430	-105.5043901
517668516	44.2299830	-105.4265702
517666487	44.2450930	-105.5436701
517667009	44.3336730	-105.5109701
517667513	44.2702130	-105.5041001
517666672	44.2890820	-105.5082311
517666965	44.2899730	-105.5034801
517667755	44.2843930	-105.4840101
517667498	44.2685030	-105.5061501
517666101	44.3063630	-105.6140401
517788798	44.6210930	-105.6805500
517667121	44.2978830	-105.5036401
517661255	43.8503690	-104.2394385
517666842	44.2913330	-105.5205301
517669039	44.3391030	-105.3393302
517668030	44.3122630	-105.4759101
517667368	44.2632930	-105.5183501
517667876	44.2934630	-105.4811001
517667522	44.2768030	-105.5075701
517667852	44.3016330	-105.4824301
517660838	43.8389791	-105.3652512
517661200	43.8540250	-104.2126595
517668423	44.2634930	-105.4950702
517666295	44.2439531	-105.6731001
517666771	44.3044970	-105.5096981
517660861	43.7761631	-105.3623803
517666061	44.3043830	-105.5266701
517666551	44.1169131	-105.6471701
517666505	44.0781031	-105.9027501
517415485	41.1362334	-104.8156108
517666829	44.3273630	-105.5127701
517666284	44.2907230	-105.6036601
517667674	44.2710970	-105.4936981
517666109	44.2932630	-105.5958701
517668402	44.2352430	-105.4260102
517666065	44.2936230	-105.5250201
517667588	44.2928470	-105.4912771
517668729	44.2788550	-105.1888252
517667822	44.2920130	-105.4903401
517666158	44.3038630	-105.5373201
517668526	44.2709630	-105.4931201
517667773	44.2837630	-105.4738402
517667975	44.2846830	-105.4778902
517667204	44.2929330	-105.5066401
517668085	44.2905630	-105.4478902
517666555	44.2403530	-105.5527901
503226336	40.0309485	-104.8105589
517667528	44.2685030	-105.5061501
517661219	43.8517720	-104.2122805
517668411	44.2767130	-105.4955001
517666897	44.2987930	-105.5220001
517666171	44.3008030	-105.5469501
517667983	44.3065730	-105.4794401
517665983	44.3241690	-105.5302211
517667478	44.2655930	-105.5158701
517667241	44.2646430	-105.5175701
517668248	44.2518430	-105.4805102
517667692	44.2764270	-105.4938411
517666409	44.2426431	-105.6182001
517667967	44.2919930	-105.4932401
517666142	44.3307230	-105.6896301
517666517	44.2904130	-105.5292001
517666739	44.2710490	-105.4941271
517667542	44.2750230	-105.5155501
517666472	44.2662230	-105.5286101
517666037	44.2258441	-105.5707721
517660848	43.8389791	-105.3652512
517668545	44.2630230	-105.4951002
517667977	44.2919930	-105.4932401
517667267	44.2595030	-105.4971602
517668556	44.2476430	-105.3567502
517667151	44.2929030	-105.5006101
517414190	41.1308634	-104.8241208
517661593	43.7519631	-105.5067302
517667904	44.2845130	-105.4773802
517667214	44.2987930	-105.5220001
517666479	44.2856630	-105.5486301
517666646	44.2919910	-105.5039101
517666635	44.2833420	-105.4941531
517668467	44.2778530	-105.4919501
517788554	44.9636260	-105.8122500
517667343	44.2559630	-105.5027501
517667373	44.2755330	-105.5043401
517668253	44.2298630	-105.4282102
517667608	44.3292960	-105.4799981
517669072	44.3240630	-105.1777302
517666174	44.3008330	-105.5472301
517668101	44.2412730	-105.4684302
517661045	43.8510910	-104.2245095
517667844	44.3018330	-105.3505402
517666123	44.2945930	-105.5309201
517666298	44.2721731	-105.6327201
517666454	44.2540430	-105.5821901
517667820	44.2906230	-105.4768102
517788694	44.6372180	-105.3364101
517667590	44.2892930	-105.4791752
517668316	44.2448430	-105.4771302
517667747	44.3067530	-105.4848701
517668144	44.2778530	-105.4919501
517666406	44.2905730	-105.5545701
517667208	44.2884430	-105.4948201
517661498	43.7452721	-105.5204032
508220248	39.0939805	-84.4962234
517661547	43.9529331	-105.7687701
517666854	44.2899130	-105.5141601
517667474	44.2694730	-105.5199801
517667897	44.2813530	-105.4934801
517667348	44.2649230	-105.5181101
517666404	44.2788330	-105.5550601
517788811	44.7092430	-105.4803201
517666726	44.2523910	-105.5110621
517661534	43.7584559	-105.4884554
517668425	44.2704130	-105.4752802
517499152	42.7467532	-105.3592904
517666289	44.2987630	-105.5336801
517666932	44.2908430	-105.5141801
517668068	44.2849130	-105.4796702
517667277	44.2683930	-105.5127801
517666446	44.2858530	-105.5487701
517788806	44.5889130	-105.3576901
517668560	44.2926930	-105.3441902
517667788	44.3043930	-105.4784801
517668421	44.2739630	-105.4931901
517661188	43.8493510	-104.2092745
507069358	29.8702246	-90.0856254
517667177	44.2926530	-105.4970901
517667481	44.2782430	-105.5065001
517660989	43.8556070	-104.2024255
517667645	44.2892540	-105.4411502
503226345	40.0583865	-104.8084549
517668077	44.2911530	-105.4812101
517788443	44.6142400	-105.7460130
517667944	44.2861130	-105.4875701
517666944	44.3011530	-105.5204201
517666218	44.2836631	-105.6555901
517666603	44.2850770	-105.4940001
517667932	44.2841430	-105.4849301
517667180	44.2964430	-105.4948901
517667001	44.2862930	-105.5092601
517666203	44.3011430	-105.5595701
517667751	44.2911230	-105.4932701
517667433	44.2684930	-105.5071201
517668559	44.2568930	-105.3628202
517661576	43.7500831	-105.4880602
517668395	44.2339730	-105.4635902
517668440	44.2409130	-105.4746002
517668508	44.2171530	-105.4672202
517788804	44.7083930	-105.5346901
517666574	44.2850770	-105.4940001
517665980	44.2492651	-105.7055811
517667354	44.2651530	-105.5170301
517666247	44.2985330	-105.5285701
517668313	44.2614530	-105.4724502
517668407	44.2177130	-105.4607802
517667304	44.2653830	-105.4942802
517668044	44.3106030	-105.4496502
517667446	44.2685830	-105.4961301
517668153	44.2465330	-105.4837502
517666094	44.3361930	-105.6556301
517666444	44.2822830	-105.5454501
517668562	44.2844930	-105.3565002
517667891	44.3110930	-105.4841001
517668338	44.2339730	-105.4266702
517668476	44.2578030	-105.4938502
517668310	44.1904230	-105.4496002
517667514	44.2719130	-105.5016201
517667647	44.2742280	-105.4938001
517666880	44.2919930	-105.5044301
517666195	44.3194230	-105.5299601
517667941	44.2915430	-105.4932301
517788828	44.7868130	-105.6839600
517667560	44.2716430	-105.5128001
517666935	44.2883430	-105.5100201
517666665	44.2929440	-105.5040901
517667367	44.2848430	-105.5192501
517666846	44.2868230	-105.5129601
517667626	44.2703630	-105.4936741
517668078	44.3047230	-105.4767301
517667298	44.2626630	-105.5192101
517661215	43.8475310	-104.2104875
517668535	44.2720230	-105.4931501
517667352	44.2699430	-105.5050901
517666923	44.2913330	-105.5205301
517788553	44.9290340	-105.7698790
517666629	44.2824350	-105.4939921
517666173	44.3031830	-105.5240901
517667379	44.2691030	-105.5234401
517666257	44.3277430	-105.5270201
517667416	44.2699830	-105.5159601
517668060	44.2962530	-105.4908001
517660859	43.5619201	-105.6810582
517667727	44.2861030	-105.4853601
517666355	44.2820930	-105.5486701
517667266	44.2546030	-105.4977802
517668032	44.3128230	-105.4826201
517667758	44.3113330	-105.4833201
517668320	44.2386330	-105.4806202
517668404	44.2427730	-105.4820802
517666162	44.3562431	-105.8093001
517667482	44.2710230	-105.5205801
517666164	44.4531030	-105.5804801
517668188	44.2603130	-105.4905302
517667995	44.2920130	-105.4903401
517668549	44.2880130	-105.4425602
509823265	45.0001789	-105.3712991
517666347	44.2869430	-105.5248801
517667920	44.2910230	-105.4911901
517661556	43.7826831	-105.2068303
517666528	44.2826230	-105.5613101
517661406	43.8476350	-104.2460215
517666656	44.2905900	-105.5217141
517667317	44.2737630	-105.5108201
517667596	44.2914900	-105.4760492
507069417	29.8737046	-90.0831354
517667270	44.2686130	-105.5088101
517666091	44.3243230	-105.6813601
517666385	44.2888230	-105.5511301
517667049	44.2889330	-105.5034601
517666436	44.2447230	-105.5684801
517667557	44.2687530	-105.5049201
517665986	44.3414440	-105.5278971
517667179	44.2959930	-105.4951901
517667614	44.2519920	-105.4769542
517667572	44.3034310	-105.4891151
517668734	44.4303260	-105.2257312
517666848	44.2876530	-105.4955801
517667742	44.3291530	-105.4828701
517499363	42.7243432	-105.3869544
517668481	44.2243230	-105.4669302
517668493	44.2778530	-105.4919501
517660858	43.5615811	-105.6729562
517666486	44.2643230	-105.5307801
517667490	44.2612630	-105.5031301
517666304	44.2800930	-105.5467101
517414220	41.1387234	-104.8198908
517668530	44.2528430	-105.4808102
517668312	44.2596330	-105.4835902
517666455	44.2874830	-105.5533301
517666014	44.3161980	-105.5311041
517666832	44.2923830	-105.4970901
517666334	44.2366331	-105.7204501
517788807	44.9150730	-105.5020400
517666293	44.2967730	-105.5987501
517667974	44.2951730	-105.4871101
517668042	44.3128230	-105.4814001
517667875	44.2849030	-105.4848601
517666898	44.2964330	-105.4964201
517668331	44.2879530	-105.4314602
517668298	44.2925930	-105.4442802
517668349	44.2711030	-105.4319502
517667327	44.2768030	-105.5075701
517666356	44.1680031	-105.6518901
517667824	44.2972330	-105.4657902
517661544	43.7537031	-105.6538402
517666503	44.2811130	-105.5581001
517666300	44.1136631	-105.6467101
517667202	44.2854730	-105.5107601
517666907	44.2968630	-105.4970601
517668379	44.2595230	-105.4881802
517667854	44.2909530	-105.4785501
503225340	40.0004785	-104.8213099
517668118	44.2572130	-105.4914202
517667086	44.2917830	-105.5044201
517668245	44.2753730	-105.4934901
517666026	44.2569210	-105.5407621
517667300	44.2777030	-105.4987401
517666463	44.2704830	-105.5305401
517668149	44.2719430	-105.4787402
517666773	44.3044970	-105.5096981
517668136	44.2477730	-105.4817102
517666141	44.3024630	-105.5475101
517666765	44.3044970	-105.5096981
517667947	44.3226930	-105.4890401
517666423	44.2504031	-105.6337001
517666628	44.2901120	-105.5024051
517668104	44.2412130	-105.4744102
517667776	44.3105630	-105.4808701
517666154	44.2994630	-105.5286401
517666020	44.2607820	-105.5439991
517667100	44.3033830	-105.5214601
517667394	44.2623130	-105.4958702
517666485	44.2553830	-105.5493901
517666675	44.2929440	-105.5040901
517666288	44.3194830	-105.6656401
517667757	44.3056030	-105.4842601
517661496	43.7533831	-105.4964662
517667402	44.2687730	-105.5024201
517667060	44.2812130	-105.5064801
517666902	44.2885830	-105.4947301
517666309	44.2496530	-105.5511901
517666706	44.2685510	-105.5017861
517668279	44.2330230	-105.4298302
517669041	44.3318230	-105.3361502
517668501	44.2514130	-105.4799902
508220273	39.0904625	-84.4944634
517668121	44.2890730	-105.4460502
517666040	44.2502380	-105.5354591
517668461	44.2588030	-105.4758802
517666151	44.3019030	-105.5406001
517668269	44.2588030	-105.4756502
508220716	39.0947925	-84.4942664
517668736	44.2919880	-105.2456952
517666053	44.2263241	-105.5701981
517666701	44.2939480	-105.5039571
517667149	44.2831930	-105.5048601
517788822	44.9608430	-105.8062200
517667547	44.2693730	-105.5059701
517666942	44.3054630	-105.5199201
517666396	44.2619830	-105.5286501
517667714	44.2859830	-105.4882701
517667538	44.2633530	-105.5142001
517666272	44.3001030	-105.5302501
517666565	44.2911930	-105.5025931
517668249	44.2864730	-105.4652802
517667584	44.2892930	-105.4791752
517666539	44.2422231	-105.6170901
507069397	29.8748546	-90.0883054
517668396	44.2537830	-105.4927102
517667731	44.2833530	-105.4903601
517668326	44.2412730	-105.4684302
517666118	44.3051430	-105.5354801
517667203	44.2927630	-105.5044301
517666335	44.2288231	-105.6179401
517666972	44.2877930	-105.5064301
517667439	44.2685530	-105.5014501
517667999	44.3043430	-105.4828701
517667423	44.2585330	-105.5189401
517667448	44.2698730	-105.4957601
517667973	44.3158230	-105.4430002
517667018	44.2933030	-105.5059001
517661577	43.7491131	-105.4891302
517667142	44.2917530	-105.4947801
517661551	43.7718731	-105.4738302
517667810	44.2900230	-105.4936001
